|Execute ddl| set chained off |   
- this just isnt going to work otherwise

|Execute|Create table dbo.Test_DBFit(name varchar(50), luckyNumber int)|

|Insert|dbo.Test_DBFit|
|name|luckyNumber|
|pera|1|
|nuja|2|
|nnn|3|

|Query|Select * from dbo.Test_DBFit|
|name|lucky Number|
|pera|1|
|nuja|2|
|nnn|3|





|Execute|Drop table dbo.Test_DBFit|

|Execute|Create table FitNesseTestDB.dbo.Test_DBFit(name varchar(50), luckyNumber int)|

|Insert|FitNesseTestDB.dbo.Test_DBFit|
|name|luckyNumber|
|pera|1|
|nuja|2|
|nnn|3|

|Query|Select * from FitNesseTestDB.dbo.Test_DBFit|
|name|lucky Number|
|pera|1|
|nuja|2|
|nnn|3|

|Execute|Drop table FitNesseTestDB.dbo.Test_DBFit|
